school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
Luther College,Decorah,IA,52101-1045,43.312304,-91.802809,203973013,195931642,-8041371
Maharishi International University,Fairfield,IA,52557,41.017781,-91.967306,11507000,11627000,120000
Mercy College of Health Sciences,Des Moines,IA,50309-1239,41.594559,-93.626238,10010108,9804093,-206015
Morningside University,Sioux City,IA,51106-1751,42.473891,-96.359464,57259474,59589258,2329784
Mount Mercy University,Cedar Rapids,IA,52402-4797,42.001931,-91.650991,36315412,34358994,-1956418
North Iowa Area Community College,Mason City,IA,50401,43.157169,-93.13126,38482001,35326591,-3155410
University of Northern Iowa,Cedar Falls,IA,50614-0005,42.514923,-92.459703,176366296,167662993,-8703303
Northwestern College,Orange City,IA,51041,42.999007,-96.058772,75165165,63190062,-11975103
Northeast Iowa Community College,Calmar,IA,52132-0400,43.17523,-91.867105,3222671,3969425,746754
Northwest Iowa Community College,Sheldon,IA,51201,43.184701,-95.880639,5171821,4858269,-313552
Des Moines University-Osteopathic Medical Center,Des Moines,IA,50312,41.583325,-93.661686,181743960,159296244,-22447716
Palmer College of Chiropractic,Davenport,IA,52803-5287,41.529021,-90.574607,75552195,65726584,-9825611
Saint Ambrose University,Davenport,IA,52803-2898,41.54065,-90.579854,211916395,194047309,-17869086
St Luke's College,Sioux City,IA,51104-0263,42.520081,-96.404724,1213010,1249010,36000
Simpson College,Indianola,IA,50125,41.365503,-93.563471,105332071,95247154,-10084917
Southeastern Community College,West Burlington,IA,52655-0180,40.814496,-91.171881,8460264,7198858,-1261406
Southwestern Community College,Creston,IA,50801,41.073437,-94.380906,2691964,2766612,74648
Upper Iowa University,Fayette,IA,52142-1857,42.838283,-91.799543,22682522,19769502,-2913020
Wartburg College,Waverly,IA,50677-0903,42.7277,-92.483387,99150403,94173822,-4976581
Wartburg Theological Seminary,Dubuque,IA,52003-7769,42.485761,-90.691225,37612251,32866440,-4745811
Western Iowa Tech Community College,Sioux City,IA,51102-5199,42.482953,-96.348874,3181472,3275205,93733
William Penn University,Oskaloosa,IA,52577,41.310111,-92.647095,7435146,7403742,-31404
Allen County Community College,Iola,KS,66749,37.938038,-95.396377,8187476,6973949,-1213527
Baker University,Baldwin City,KS,66006-0065,38.778712,-95.187346,54288205,49600633,-4687572
Barton County Community College,Great Bend,KS,67530,38.403529,-98.731648,11419340,10223559,-1195781
Benedictine College,Atchison,KS,66002-1499,39.573079,-95.113858,44917496,41986243,-2931253
Bethany College,Lindsborg,KS,67456-1897,38.580598,-97.67367,9864730,11395817,1531087
Bethel College-North Newton,North Newton,KS,67117-1716,38.075169,-97.343256,31624566,27577842,-4046724
Butler Community College,El Dorado,KS,67042-3280,37.806699,-96.882987,11270748,12605601,1334853
Central Christian College of Kansas,McPherson,KS,67460-5740,38.357978,-97.668597,4922359,5215433,293074
Cloud County Community College,Concordia,KS,66901-1002,39.554199,-97.664147,12381598,10557247,-1824351
Coffeyville Community College,Coffeyville,KS,67337-5064,37.033814,-95.621374,11979259,12495297,516038
Colby Community College,Colby,KS,67701,39.377601,-101.052744,7903807,7415607,-488200
Dodge City Community College,Dodge City,KS,67801-2399,37.776891,-100.037481,3058038,2625477,-432561
Donnelly College,Kansas City,KS,66102,39.112346,-94.649827,8515527,7439989,-1075538
Emporia State University,Emporia,KS,66801-5415,38.414784,-96.179021,100787819,97388972,-3398847
Flint Hills Technical College,Emporia,KS,66801-5957,38.41888,-96.224141,4885063,4160425,-724638
Fort Hays State University,Hays,KS,67601-4099,38.872156,-99.342503,145486489,137188977,-8297512
Barclay College,Haviland,KS,67059-0288,37.62012,-99.105351,7048498,5986142,-1062356
Friends University,Wichita,KS,67213,37.678459,-97.367048,62611738,58722366,-3889372
Fort Scott Community College,Fort Scott,KS,66701,37.816206,-94.715334,8292131,6735194,-1556937
Garden City Community College,Garden City,KS,67846-6333,37.970514,-100.84916,7760892,6923250,-837642
Hesston College,Hesston,KS,67062-2093,38.134558,-97.433883,17292006,15556696,-1735310
Highland Community College,Highland,KS,66035-4165,39.859987,-95.271539,6023223,5402163,-621060
Hutchinson Community College,Hutchinson,KS,67501,38.068035,-97.92135,13244616,10805916,-2438700
Johnson County Community College,Overland Park,KS,66210-1299,38.924125,-94.727798,31298093,27436687,-3861406
Kansas City Kansas Community College,Kansas City,KS,66112,39.121911,-94.748061,2674594,3006690,332096
University of Kansas,Lawrence,KS,66045,38.958549,-95.247567,2398680411,2303429732,-95250679
Newman University,Wichita,KS,67213-2097,37.672643,-97.37768,29925050,25432124,-4492926
Kansas State University,Manhattan,KS,66506,39.188648,-96.581077,860561816,912833425,52271609
Kansas Wesleyan University,Salina,KS,67401-6146,38.813795,-97.607973,41700624,38075690,-3624934
Labette Community College,Parsons,KS,67357-4201,37.339062,-95.255368,759170,805066,45896
Manhattan Area Technical College,Manhattan,KS,66503-2499,39.197774,-96.615672,247159,517753,270594
Manhattan Christian College,Manhattan,KS,66502-4801,39.184806,-96.579383,4794914,4406765,-388149
McPherson College,McPherson,KS,67460-1402,38.371422,-97.642996,53919730,53371147,-548583
MidAmerica Nazarene University,Olathe,KS,66062-1899,38.875615,-94.781635,16299264,14056637,-2242627
Neosho County Community College,Chanute,KS,66720,37.670672,-95.464976,4158792,3807150,-351642
North Central Kansas Technical College,Beloit,KS,67420,39.482419,-98.110826,290847,284111,-6736
Northwest Kansas Technical College,Goodland,KS,67735,39.346424,-101.70022,944917,905748,-39169
Ottawa University-Ottawa,Ottawa,KS,66067-3399,38.603173,-95.264187,3693356,3823802,130446
Ottawa University-Kansas City,Overland Park,KS,66211,38.932055,-94.635461,1157791,1198682,40891
Pittsburg State University,Pittsburg,KS,66762,37.392071,-94.702473,113258933,103278157,-9980776
Pratt Community College,Pratt,KS,67124,37.654451,-98.714538,6231231,6483374,252143
University of Saint Mary,Leavenworth,KS,66048-5082,39.279396,-94.906743,20290406,17969961,-2320445
Salina Area Technical College,Salina,KS,67401,38.793582,-97.636892,1145001,498560,-646441
Seward County Community College,Liberal,KS,67901,37.059807,-100.917695,5988376,6005365,16989
Southwestern College,Winfield,KS,67156-2499,37.248608,-96.975405,27433651,26656485,-777166
Sterling College,Sterling,KS,67579,38.219937,-98.208644,15320526,13468512,-1852014
Tabor College,Hillsboro,KS,67063-1799,38.34858,-97.199773,14990248,14712200,-278048
Washburn University,Topeka,KS,66621-0001,39.033778,-95.702222,210985121,190594225,-20390896
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,67226,37.75764,-97.224151,1598593,1534296,-64297
Wichita State University,Wichita,KS,67260-0124,37.718882,-97.292361,336760732,320097999,-16662733
Alice Lloyd College,Pippa Passes,KY,41844,37.335087,-82.875068,59864522,57103324,-2761198
Asbury University,Wilmore,KY,40390-1198,37.862029,-84.662606,69641629,68574686,-1066943
Asbury Theological Seminary,Wilmore,KY,40390-1199,37.861561,-84.660127,190772803,200734801,9961998
Bellarmine University,Louisville,KY,40205-0671,38.219279,-85.704997,80147900,71030451,-9117449
Berea College,Berea,KY,40404-2182,37.57202,-84.292893,1575414600,1418870700,-156543900
Brescia University,Owensboro,KY,42301-3023,37.769041,-87.111639,17399771,15810956,-1588815
Campbellsville University,Campbellsville,KY,42718-2799,37.343342,-85.348943,34846928,35720002,873074
Centre College,Danville,KY,40422-1394,37.645709,-84.779392,420214180,408796421,-11417759
Clear Creek Baptist Bible College,Pineville,KY,40977-9752,36.725236,-83.727702,25000673,21047310,-3953363
University of the Cumberlands,Williamsburg,KY,40769,36.737048,-84.161646,120888737,164485925,43597188
Eastern Kentucky University,Richmond,KY,40475-3102,37.740845,-84.300796,88786959,78572624,-10214335
Frontier Nursing University,Versailles,KY,40383,38.051018,-84.692791,25258268,22263299,-2994969
Georgetown College,Georgetown,KY,40324-1696,38.207615,-84.553767,44423702,37421335,-7002367
Kentucky Mountain Bible College,Jackson,KY,41339,37.603443,-83.438765,5115872,5492671,376799
Kentucky State University,Frankfort,KY,40601-2355,38.201427,-84.855402,21945544,19063354,-2882190
Kentucky Wesleyan College,Owensboro,KY,42301,37.744489,-87.119658,42146419,38714749,-3431670
University of Kentucky,Lexington,KY,40506-0032,38.038911,-84.504747,1863781454,1754167989,-109613465
Kentucky Christian University,Grayson,KY,41143-1199,38.338805,-82.945561,6825733,7041656,215923
Lexington Theological Seminary,Lexington,KY,40503,37.996332,-84.526079,47994078,42483710,-5510368
Lindsey Wilson College,Columbia,KY,42728-1223,37.101502,-85.299997,37179682,32761864,-4417818
University of Louisville,Louisville,KY,40292-0001,38.216862,-85.760412,958704000,883606000,-75098000
Louisville Presbyterian Theological Seminary,Louisville,KY,40205-1798,38.237056,-85.686411,103900288,96388106,-7512182
Midway University,Midway,KY,40347-1120,38.146126,-84.678142,36375546,28926670,-7448876
Morehead State University,Morehead,KY,40351,38.186768,-83.434021,58002224,56141302,-1860922
Murray State University,Murray,KY,42071-3318,36.612419,-88.323629,119044009,106596412,-12447597
Northern Kentucky University,Highland Heights,KY,41099,39.029714,-84.463483,129970000,119757000,-10213000
University of Pikeville,Pikeville,KY,41501,37.479232,-82.521063,29173185,26197115,-2976070
The Southern Baptist Theological Seminary,Louisville,KY,40280-0001,38.248216,-85.687649,108032667,94824550,-13208117
Spalding University,Louisville,KY,40203-2188,38.242407,-85.757725,26379566,22595678,-3783888
Thomas More University,Crestview Hills,KY,41017-3495,39.022963,-84.568923,36775629,34267985,-2507644
Transylvania University,Lexington,KY,40508-1797,38.052983,-84.493202,240818154,220712248,-20105906
Union College,Barbourville,KY,40906-1499,36.870875,-83.888477,30900100,24767823,-6132277
Western Kentucky University,Bowling Green,KY,42101-1000,36.985035,-86.456828,17668486,19854237,2185751
Central Louisiana Technical Community College,Alexandria,LA,71301,31.310461,-92.446693,290136,290536,400
Bossier Parish Community College,Bossier City,LA,71111-6922,32.539551,-93.646881,1220000,1430000,210000
Centenary College of Louisiana,Shreveport,LA,71104,32.483335,-93.730834,149355410,123340027,-26015383
Delgado Community College,New Orleans,LA,70119,29.985149,-90.103962,4374795,3705883,-668912
Dillard University,New Orleans,LA,70122,29.996587,-90.06464,108887649,92755906,-16131743
Nunez Community College,Chalmette,LA,70043,29.95419,-89.95888,1450495,1429173,-21322
Grambling State University,Grambling,LA,71245,32.523797,-92.713245,8081377,8181377,100000
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,70112-2223,29.957272,-90.083145,47143042,38982019,-8161023
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,31.178616,-92.414409,22581628,20073359,-2508269
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,30.414986,-91.178921,702094512,632722297,-69372215
Louisiana State University-Eunice,Eunice,LA,70535,30.473292,-92.434523,3151064,2982985,-168079
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,32.428465,-93.70561,28887195,24591153,-4296042
Louisiana Christian University,Pineville,LA,71359,31.324528,-92.425973,45660619,41881314,-3779305
Louisiana Tech University,Ruston,LA,71272,32.528297,-92.649963,95704850,86292776,-9412074
Loyola University New Orleans,New Orleans,LA,70118-6143,29.936141,-90.120417,262257784,236132884,-26124900
McNeese State University,Lake Charles,LA,70605,30.178187,-93.217222,25191314,18915693,-6275621
University of New Orleans,New Orleans,LA,70148,30.027704,-90.067142,25820739,23378960,-2441779
New Orleans Baptist Theological Seminary,New Orleans,LA,70126,30.004336,-90.043439,72067692,74082585,2014893
Nicholls State University,Thibodaux,LA,70310,29.794486,-90.801571,19806207,16807980,-2998227
University of Louisiana at Monroe,Monroe,LA,71209-0000,32.527748,-92.07374,41746794,37328263,-4418531
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,31.750666,-93.097797,20803510,16816137,-3987373
University of Holy Cross,New Orleans,LA,70131-7399,29.912003,-89.99445,29818394,22693408,-7124986
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,30.401379,-91.110587,12263696,11112553,-1151143
Saint Joseph Seminary College,St. Benedict,LA,70457,30.526778,-90.113621,620660,547014,-73646
Fletcher Technical Community College,Schriever,LA,70395,29.690884,-90.811707,459105,538588,79483
SOWELA Technical Community College,Lake Charles,LA,70615,30.217331,-93.16252,1809572,1913239,103667
Southeastern Louisiana University,Hammond,LA,70402,30.514652,-90.468676,22583695,20049485,-2534210
Southern University and A & M College,Baton Rouge,LA,70813,30.524558,-91.190105,11997893,11051970,-945923
Southern University at New Orleans,New Orleans,LA,70126,30.026162,-90.044912,3156732,3137803,-18929
Southern University at Shreveport,Shreveport,LA,71107,32.545632,-93.834559,1513866,1370882,-142984
University of Louisiana at Lafayette,Lafayette,LA,70503,30.212191,-92.020165,171397760,154721046,-16676714
Northshore Technical Community College,Lacombe,LA,70445,30.379147,-89.899196,720000,820000,100000
Tulane University of Louisiana,New Orleans,LA,70118-5698,29.940069,-90.122144,1972827000,2001112000,28285000
Xavier University of Louisiana,New Orleans,LA,70125-1098,29.964162,-90.107307,190826626,164104719,-26721907
College of the Atlantic,Bar Harbor,ME,04609,44.395258,-68.221517,81831154,67786884,-14044270
Bates College,Lewiston,ME,04240,44.105299,-70.203333,466016288,418543930,-47472358
Bowdoin College,Brunswick,ME,04011,43.907134,-69.963942,2718438000,2472818000,-245620000
Maine College of Health Professions,Lewiston,ME,04240,44.100458,-70.21732,8253061,8174853,-78208
Central Maine Community College,Auburn,ME,04210-6498,44.134346,-70.235498,1430100,1382126,-47974
Colby College,Waterville,ME,04901-8840,44.564211,-69.66337,1257738000,1122451000,-135287000
Eastern Maine Community College,Bangor,ME,04401,44.826048,-68.74445,1776395,1704698,-71697
Kennebec Valley Community College,Fairfield,ME,04937-1367,44.594149,-69.61157,4334100,4023898,-310202
The Landing School,Arundel,ME,04046,43.380492,-70.503619,1236772,1030530,-206242
University of Maine at Augusta,Augusta,ME,04330-9410,44.337746,-69.796396,9335000,7895000,-1440000
University of Maine at Farmington,Farmington,ME,04938-9978,44.666911,-70.147121,18042000,15355000,-2687000
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,47.250389,-68.589319,5149000,4697000,-452000
University of Maine,Orono,ME,04469,44.899257,-68.669332,448303000,456236000,7933000
Maine Maritime Academy,Castine,ME,04420-0001,44.389654,-68.804347,45893773,44837944,-1055829
University of Maine at Presque Isle,Presque Isle,ME,04769-2888,46.672285,-68.016343,1523000,1281000,-242000
University of New England,Biddeford,ME,04005-9599,43.458591,-70.38535,50079209,45068469,-5010740
Northern Maine Community College,Presque Isle,ME,04769-2016,46.694668,-68.034796,6035757,4610460,-1425297
Maine College of Art & Design,Portland,ME,04101-3494,43.655743,-70.261015,15412452,13869461,-1542991
Saint Joseph's College of Maine,Standish,ME,04084-5263,43.826314,-70.483373,18502833,15523555,-2979278
Southern Maine Community College,South Portland,ME,04106-1698,43.646649,-70.229182,2068863,1890324,-178539
University of Southern Maine,Portland,ME,04103,43.662863,-70.274247,51260000,42013000,-9247000
Thomas College,Waterville,ME,04901-5097,44.524909,-69.664734,20020781,18608816,-1411965
Unity College,New Gloucester,ME,04260,43.905745,-70.257277,18671070,15715242,-2955828
Washington County Community College,Calais,ME,04619,45.165537,-67.243306,655566,548829,-106737
Allegany College of Maryland,Cumberland,MD,21502-2596,39.652152,-78.730398,19136532,20352969,1216437
Anne Arundel Community College,Arnold,MD,21012-1895,39.049813,-76.512223,8258163,8485634,227471
Baltimore City Community College,Baltimore,MD,21215-7893,39.319978,-76.662878,1596473,1413142,-183331
University of Baltimore,Baltimore,MD,21201-5720,39.305834,-76.616591,70214076,68443299,-1770777
Bowie State University,Bowie,MD,20715-9465,39.018185,-76.759721,39100721,41247594,2146873
Capitol Technology University,Laurel,MD,20708,39.046673,-76.850231,5848499,4978506,-869993
Cecil College,North East,MD,21901-1900,39.642225,-75.955949,8784717,8231156,-553561
College of Southern Maryland,La Plata,MD,20646-0910,38.55895,-77.009245,10757828,9402517,-1355311
Chesapeake College,Wye Mills,MD,21679-0008,38.952193,-76.083668,5795231,4309220,-1486011
Washington Adventist University,Takoma Park,MD,20912,38.986349,-77.000608,2851779,2888883,37104
Coppin State University,Baltimore,MD,21216-3698,39.311258,-76.658687,15052131,15195191,143060
Frederick Community College,Frederick,MD,21702-2964,39.452241,-77.417849,14312172,14262402,-49770
Frostburg State University,Frostburg,MD,21532-1099,39.650918,-78.934293,36399168,38315197,1916029
Garrett College,McHenry,MD,21541,39.560493,-79.342923,8707176,7682224,-1024952
Goucher College,Baltimore,MD,21204-2794,39.410175,-76.594843,259341000,243311000,-16030000
Hagerstown Community College,Hagerstown,MD,21742-6514,39.631009,-77.667379,15341652,17435673,2094021
Harford Community College,Bel Air,MD,21015-1698,39.56131,-76.282845,12728391,13808616,1080225
Hood College,Frederick,MD,21701,39.420631,-77.419049,134228547,127676673,-6551874
Howard Community College,Columbia,MD,21044-3197,39.213636,-76.877964,14346111,11916667,-2429444
Johns Hopkins University,Baltimore,MD,21218-2688,39.328977,-76.621595,9315279000,8244472000,-1070807000
Loyola University Maryland,Baltimore,MD,21210-2699,39.346358,-76.621872,307797711,301817062,-5980649
University of Maryland Global Campus,Adelphi,MD,20783-8010,38.912706,-76.847584,55158945,54472455,-686490
University of Maryland Baltimore,Baltimore,MD,21201-1627,39.286864,-76.623983,456327486,466849036,10521550
University of Maryland-Baltimore County,Baltimore,MD,21250,39.256686,-76.711607,137355063,146753148,9398085
University of Maryland-College Park,College Park,MD,20742,38.988178,-76.944721,943172167,965446224,22274057
Maryland Institute College of Art,Baltimore,MD,21217-4134,39.308792,-76.621033,117755152,109355771,-8399381
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,38.207386,-75.686852,58520053,65229324,6709271
Montgomery College,Rockville,MD,20850,39.098656,-77.15929,38592668,32518029,-6074639
Morgan State University,Baltimore,MD,21251-0001,39.344161,-76.585565,98712875,91221445,-7491430
Mount St. Mary's University,Emmitsburg,MD,21727-7799,39.681705,-77.351887,64126845,59202444,-4924401
Notre Dame of Maryland University,Baltimore,MD,21210-2476,39.350612,-76.619739,51709356,49321528,-2387828
Prince George's Community College,Largo,MD,20774-2199,38.888689,-76.824623,6451847,5695247,-756600
Salisbury University,Salisbury,MD,21801-6862,38.34648,-75.604815,100837695,93445415,-7392280
St. Mary's College of Maryland,St. Mary's City,MD,20686,38.188047,-76.430994,44868594,40034496,-4834098
St. John's College,Annapolis,MD,21401,38.981598,-76.491359,172683848,149227172,-23456676
Towson University,Towson,MD,21252-0001,39.393622,-76.611164,113271223,95700858,-17570365
Maryland University of Integrative Health,Laurel,MD,20723,39.165872,-76.888025,646752,58561,-588191
United States Naval Academy,Annapolis,MD,21402-1300,38.980507,-76.481692,382923157,341837755,-41085402
Stevenson University,Owings Mills,MD,21117,39.426413,-76.775809,126472667,103541347,-22931320
Washington College,Chestertown,MD,21620-1438,39.217329,-76.06878,299835141,267150417,-32684724
McDaniel College,Westminster,MD,21157,39.584231,-77.001992,170613000,143062000,-27551000
Wor-Wic Community College,Salisbury,MD,21804-7131,38.373723,-75.499659,26129487,25200584,-928903
American International College,Springfield,MA,01109,42.112346,-72.558338,25570046,28023986,2453940
Amherst College,Amherst,MA,01002-5000,42.372459,-72.518493,3775153114,3321852777,-453300337
Anna Maria College,Paxton,MA,01612-1198,42.330542,-71.91896,7190015,5821338,-1368677
Assumption University,Worcester,MA,01609-1296,42.294226,-71.828991,101791191,108227034,6435843
Babson College,Wellesley,MA,02457-0310,42.297017,-71.264057,700733790,663315949,-37417841
Bay Path University,Longmeadow,MA,01106,42.055088,-72.583382,73535409,64645290,-8890119
Bentley University,Waltham,MA,02452-4705,42.385995,-71.222839,359232000,333061000,-26171000
Berklee College of Music,Boston,MA,02215,42.346646,-71.089405,446633116,406592352,-40040764
Berkshire Community College,Pittsfield,MA,01201-5786,42.45975,-73.314704,10943908,10272397,-671511
Boston Architectural College,Boston,MA,02115-2703,42.348467,-71.085786,14341138,12343781,-1997357
Boston College,Chestnut Hill,MA,02467,42.336213,-71.169242,3775566151,3715412313,-60153838
Boston University,Boston,MA,02215,42.351118,-71.107942,3392513000,2973352000,-419161000
Brandeis University,Waltham,MA,02454-9110,42.365727,-71.260155,1286001704,1205167500,-80834204
Bridgewater State University,Bridgewater,MA,02325,41.98749,-70.974553,65117443,60993492,-4123951
Bristol Community College,Fall River,MA,02720-7395,41.721994,-71.119133,7079879,7624033,544154
Bunker Hill Community College,Boston,MA,02129-2925,42.374806,-71.069263,4351359,4784490,433131
Cambridge College,Boston,MA,02129,42.381091,-71.072646,58308304,41731928,-16576376
Cape Cod Community College,West Barnstable,MA,02668-1599,41.691911,-70.337334,7400173,7401862,1689
Laboure College of Healthcare,Milton,MA,02186,42.260866,-71.058279,9540947,7424595,-2116352
Clark University,Worcester,MA,01610-1477,42.249987,-71.823356,506185000,487169000,-19016000
Conway School of Landscape Design,Northampton,MA,01060,42.313857,-72.64875,45347,148240,102893
Curry College,Milton,MA,02186-2395,42.238061,-71.116539,104122359,94144590,-9977769
Dean College,Franklin,MA,02038-1941,42.085634,-71.397813,62005198,64555302,2550104
Eastern Nazarene College,Quincy,MA,02170-2999,42.271228,-71.011079,19431518,19100262,-331256
Emerson College,Boston,MA,02116-4624,42.352202,-71.065384,259625990,224902734,-34723256
Emmanuel College,Boston,MA,02115,42.340602,-71.103634,187652794,160956937,-26695857
Endicott College,Beverly,MA,01915,42.553296,-70.840847,129025139,119158126,-9867013
Fitchburg State University,Fitchburg,MA,01420-2697,42.588298,-71.789666,21282453,18856592,-2425861
Framingham State University,Framingham,MA,01701-9101,42.297116,-71.437565,57660378,54656953,-3003425
Benjamin Franklin Cummings Institute of Technology,Boston,MA,02116,42.346023,-71.070231,439923,950010,510087
Gordon College,Wenham,MA,01984,42.590567,-70.82151,98936710,87072779,-11863931
Gordon-Conwell Theological Seminary,South Hamilton,MA,01982,42.613475,-70.846387,71617440,63082168,-8535272
Hampshire College,Amherst,MA,01002-5001,42.325852,-72.531469,55577725,39686592,-15891133
Harvard University,Cambridge,MA,02138,42.374471,-71.118313,53165753000,50877680000,-2288073000
Hebrew College,Newton Centre,MA,02459-2237,42.325677,-71.189226,3523849,3174058,-349791
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,30797564,43001396,12203832
College of the Holy Cross,Worcester,MA,01610-2395,42.23752,-71.808214,1043289368,992626923,-50662445
Holyoke Community College,Holyoke,MA,01040,42.194781,-72.651252,7382956,7552511,169555
Lasell University,Newton,MA,02466,42.342148,-71.24347,48951389,46128982,-2822407
Lesley University,Cambridge,MA,02138-2790,42.38012,-71.117303,226529066,186630620,-39898446
Longy School of Music of Bard College,Cambridge,MA,02138,42.378657,-71.123479,9537598,8262655,-1274943
University of Massachusetts-Lowell,Lowell,MA,01854,42.652864,-71.326809,171356000,160107000,-11249000
University of Massachusetts-Amherst,Amherst,MA,01003,42.385999,-72.526728,494397003,442469956,-51927047
University of Massachusetts-Boston,Boston,MA,02125-3393,42.312881,-71.036865,124573000,126413000,1840000
Massachusetts Bay Community College,Wellesley Hills,MA,02481-5399,42.31212,-71.263458,6743275,5809702,-933573
MCPHS University,Boston,MA,02115-5896,42.336825,-71.101244,1660129792,1512276636,-147853156
Massachusetts College of Art and Design,Boston,MA,02115-5882,42.336862,-71.099275,18325655,16667670,-1657985
Massachusetts Institute of Technology,Cambridge,MA,02139-4307,42.359243,-71.093226,27394039000,24600809000,-2793230000
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,41.739072,-70.624084,39952245,40570073,617828
University of Massachusetts Chan Medical School,Worcester,MA,01655,42.278002,-71.762144,490091923,443342359,-46749564
William James College,Newton,MA,02459,42.294995,-71.203256,1165267,990297,-174970
Massasoit Community College,Brockton,MA,02302-3996,42.07507,-70.989799,2591140,1947107,-644033
Merrimack College,North Andover,MA,01845,42.668344,-71.124216,74119235,65709445,-8409790
MGH Institute of Health Professions,Boston,MA,02129-4557,42.375018,-71.054002,58133000,47462000,-10671000
Montserrat College of Art,Beverly,MA,01915-4508,42.550212,-70.876131,3079804,2858176,-221628
Mount Holyoke College,South Hadley,MA,01075-1489,42.25489,-72.573916,1068049889,1002548528,-65501361
Mount Wachusett Community College,Gardner,MA,01440-1000,42.593142,-71.984148,5919246,4126757,-1792489
The New England Conservatory of Music,Boston,MA,02115-5018,42.340946,-71.08629,154798782,138423418,-16375364
New England College of Optometry,Boston,MA,02115,42.351853,-71.086829,12466891,10679228,-1787663
New England Law-Boston,Boston,MA,02116,42.350833,-71.0665,91340148,77529583,-13810565
Nichols College,Dudley,MA,01571-5000,42.044033,-71.930283,32100561,27334716,-4765845
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,42.691361,-73.102817,18832853,16824632,-2008221
North Shore Community College,Danvers,MA,01923-0840,42.590103,-70.968044,11448944,9736182,-1712762
Northeastern University,Boston,MA,02115-5005,42.339992,-71.088782,1365215950,1432236358,67020408
Northern Essex Community College,Haverhill,MA,01830-2399,42.796634,-71.04904,7817605,8065373,247768
College of Our Lady of the Elms,Chicopee,MA,01013,42.141781,-72.60154,17900630,17361311,-539319
Pope St John XXIII National Seminary,Weston,MA,02493-2699,42.339408,-71.311059,5891218,4642372,-1248846
Quinsigamond Community College,Worcester,MA,01606-2092,42.31379,-71.79503,5099492,4377031,-722461
Regis College,Weston,MA,02493-1571,42.351291,-71.310561,48382350,39605519,-8776831
Roxbury Community College,Roxbury Crossing,MA,02120-3400,42.329249,-71.09549,2896510,2411813,-484697
Saint John's Seminary,Brighton,MA,02135-3846,42.344146,-71.161998,42903405,34854047,-8049358
Salem State University,Salem,MA,01970,42.503575,-70.890234,1268006,1131228,-136778
Simmons University,Boston,MA,02115-5898,42.3393,-71.099967,244268268,212281646,-31986622
Bard College at Simon's Rock,Great Barrington,MA,01230-9702,42.208803,-73.379201,109345,2175187,2065842
Smith College,Northampton,MA,01063,42.318111,-72.638097,2559082623,2467994699,-91087924
Springfield College,Springfield,MA,01109-3797,42.1022,-72.556647,106011115,91832544,-14178571
Springfield Technical Community College,Springfield,MA,01105-1296,42.108827,-72.578514,1495217,1379439,-115778
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,41.62869,-71.004552,103604053,90217112,-13386941
Stonehill College,Easton,MA,02357-6110,42.05905,-71.080632,307883077,295106757,-12776320
Suffolk University,Boston,MA,02108-3901,42.357945,-71.060917,305695389,253973639,-51721750
Tufts University,Medford,MA,02155-5555,42.40855,-71.118293,2646506000,2350755000,-295751000
Wellesley College,Wellesley,MA,02481-8203,42.291554,-71.306605,3236785000,2846865000,-389920000
Wentworth Institute of Technology,Boston,MA,02115,42.336632,-71.094983,149799889,143897385,-5902504
Western New England University,Springfield,MA,01119-2684,42.115017,-72.520466,71333272,59527823,-11805449
Westfield State University,Westfield,MA,01086-1630,42.132698,-72.796503,13213677,11843315,-1370362
Wheaton College (Massachusetts),Norton,MA,02766-2322,41.966637,-71.183979,266877707,241464278,-25413429
Williams College,Williamstown,MA,01267,42.712725,-73.203132,3911574095,3341413367,-570160728
Worcester Polytechnic Institute,Worcester,MA,01609-2280,42.274853,-71.808339,634544000,589684000,-44860000
Worcester State University,Worcester,MA,01602-2597,42.267526,-71.844018,20177209,21148406,971197
Adrian College,Adrian,MI,49221-2575,41.898591,-84.061481,46226719,41060715,-5166004
Albion College,Albion,MI,49224,42.245049,-84.745639,199245697,176126977,-23118720
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,150400534,128521753,-21878781
Alpena Community College,Alpena,MI,49707,45.081647,-83.445069,9842637,7385053,-2457584
Andrews University,Berrien Springs,MI,49104,41.963859,-86.355815,70146819,65553163,-4593656
Aquinas College,Grand Rapids,MI,49506-1801,42.96019,-85.628785,48084905,41318389,-6766516
Baker College,Owosso,MI,48867,42.984804,-84.172404,389980183,348217506,-41762677
